url,status
http://www.crestonwood.com/router.php,legitimate
http://shadetreetechnology.com/V4/validation/a111aedc8ae390eabcfa130e041a10a4,phishing
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/89e6a3b4b063b8d/?cmd=_update&dispatch=89e6a3b4b063b8d1b&locale=_,phishing
http://rgipt.ac.in,legitimate
http://www.iracing.com/tracks/gateway-motorsports-park/,legitimate
http://appleid.apple.com-app.es/,phishing
http://www.mutuo.it,legitimate
http://www.shadetreetechnology.com/V4/validation/ba4b8bddd7958ecb8772c836c2969531,phishing
http://vamoaestudiarmedicina.blogspot.com/,legitimate
https://parade.com/425836/joshwigler/the-amazing-race-host-phil-keoghan-previews-the-season-27-premiere/,legitimate
https://www.astrologyonline.eu/Astro_MemoNew/Profilo.asp,legitimate
https://www.lifewire.com/tcp-port-21-818146,legitimate
https://technofizi.net/top-best-mp3-downloader-app-for-android-free-music-download/,legitimate
http://html.house/l7ceeid6.html,phishing
https://www.missfiga.com/,legitimate
http://wave.progressfilm.co.uk/time3/?logon=myposte,phishing
https://www.chiefarchitect.com/,legitimate
http://beta.kenaidanceta.com/postamok/d39a2/source,phishing
http://www.ktplasmachinery.com/cs/,phishing
http://www.2345daohang.com/,legitimate
http://www.game.co.uk/en/games/nintendo-switch/nintendo-switch/,legitimate
https://blog.hubspot.com/marketing/email-open-click-rate-benchmark,legitimate
http://batvrms.net/deliver/D2017HL/u.php,phishing
http://sophie-world.com/games/port-and-starboard,legitimate
http://support-appleld.com.secureupdate.duilawyeryork.com/ap/bb14d7ff1fcbf29?cmd=_update&dispatch=bb14d7ff1fcbf29bb&locale=_us,phishing
https://polarklimatsgserver.blogspot.com/,phishing
https://www.provenancevineyards.com/,legitimate
http://www.online-tech-tips.com/computer-tips/how-to-change-mac-address/,legitimate
http://secureupdate.appleld.com.duilawyeryork.com/ap/88b142e778d73f7,phishing
